CodigoCliente,Titulo,PrimeiroNome,UltimoNome,Idade,Sexo,Endereco,Cidade,UF,UFCompleto,CEP,Pais,PaisCompleto,Email,RendaMensal,PercentualUtilizacaoLimite,QtdTransacoesNegadas,AnosDeRelacionamentoBanco,JaUsouChequeEspecial,QtdEmprestimos,NumeroAtendimentos,TMA,IndiceSatisfacao,Saldo,CLTV,CanalPref,Churn
5453,Sra.,Leonor,Castro,33,Feminino,Rua Carlos Belacosa 1758,Osasco,SP,São Paulo,06160-335,BR,Brazil,LeonorAzevedoCastro@cuvox.de,7699,0.86,12,20,1,5,15,186,3,1478,34,Push,1
5454,Sr.,Vitor,Cunha,18,Masculino,Rua Francisco Balen 221,Caxias do Sul,RS,Rio Grande do Sul,95086-310,BR,Brazil,VitorOliveiraCunha@rhyta.com,4469,0.82,14,19,0,1,20,70,3,105,90,Email,1
5455,Sr.,Luís,Barbosa,35,Masculino,Rua Rui Barbosa 180,Paulista,PE,Pernambuco,53439-360,BR,Brazil,LuisFernandesBarbosa@dayrep.com,7835,1,8,6,1,4,35,92,1,3049,83,Push,1
5456,Sra.,Larissa,Cunha,38,Feminino,Praça Luiza Helena de Barros 1623,São Paulo,SP,São Paulo,05085-100,BR,Brazil,LarissaFernandesCunha@einrot.com,5573,0.93,0,3,0,4,44,63,2,260,32,Email,1
5457,Sra.,Manuela,Rodrigues,55,Feminino,Rua Diogo Batista 1175,Presidente Prudente,SP,São Paulo,19041-070,BR,Brazil,ManuelaBarbosaRodrigues@armyspy.com,4647,0.19,4,20,1,4,2,8,5,1787,76,Ligacao,0
5458,Sr.,Tiago,Cardoso,59,Masculino,Travessa Martine Carol 1535,São Paulo,SP,São Paulo,03731-132,BR,Brazil,TiagoLimaCardoso@rhyta.com,4542,0.38,4,5,0,3,3,3,5,4893,66,SMS,0
5459,Sra.,Sophia,Cardoso,55,Feminino,Alameda Aracari 721,Belo Horizonte,MG,Minas Gerais,30535-170,BR,Brazil,SophiaGomesCardoso@cuvox.de,5841,0.5,9,0,0,5,2,4,5,2075,31,Email,0
5460,Sr.,Alex,Dias,66,Masculino,Rua Santa Cruz 1003,João Monlevade,MG,Minas Gerais,35931-166,BR,Brazil,AlexRochaDias@gustr.com,9421,0.24,8,7,1,2,1,8,4,9862,46,Push,0
5461,Sra.,Sophia,Cardoso,46,Feminino,Rua Colômbia 1308,João Monlevade,MG,Minas Gerais,35931-110,BR,Brazil,SophiaRibeiroCardoso@teleworm.us,4079,1,13,4,0,0,32,37,2,938,55,Email,1
5462,Sra.,Marisa,Cardoso,50,Feminino,Rua Farmacêutico Reynaldo Pfau 212,Blumenau,SC,Santa Catarina,89030-085,BR,Brazil,MarisaOliveiraCardoso@cuvox.de,4336,1,6,7,0,5,20,182,1,5411,46,SMS,1
5463,Sra.,Eduarda,Barbosa,52,Feminino,Rua Doutor João Ribeiro 1807,São Paulo,SP,São Paulo,03634-000,BR,Brazil,EduardaMeloBarbosa@gustr.com,6174,0.34,3,2,1,5,3,1,5,5724,74,SMS,0
5464,Sr.,Cauã,Souza,41,Masculino,Rua Luiz Dall Alba 939,Caxias do Sul,RS,Rio Grande do Sul,95054-730,BR,Brazil,CauaRibeiroSouza@armyspy.com,3471,0.25,9,9,0,2,1,8,4,9300,75,Ligacao,0
5465,Sra.,Livia,Silva,23,Feminino,Rua Doutor José Alfredo de Mello 1767,Maceió,AL,Alagoas,57037-460,BR,Brazil,LiviaRodriguesSilva@teleworm.us,5249,0.95,2,4,0,5,34,73,2,4214,47,Email,1
5466,Sra.,Sophia,Alves,42,Feminino,Rua João XXIII 651,Apucarana,PR,Paraná,86801-450,BR,Brazil,SophiaCunhaAlves@einrot.com,8834,1,0,16,0,1,32,135,3,4342,51,SMS,1
5467,Sra.,Thaís,Silva,39,Feminino,Alameda Caure 230,Bauru,SP,São Paulo,17037-590,BR,Brazil,ThaisCunhaSilva@cuvox.de,5687,0.43,7,12,0,0,1,3,4,3274,56,SMS,0
5468,Dr.,Julian,Dias,51,Masculino,Rua Helena Boscariol dos Santos 209,Votorantim,SP,São Paulo,18116-390,BR,Brazil,JulianOliveiraDias@jourrapide.com,9032,0.86,15,8,0,4,28,37,2,4427,39,Ligacao,1
5469,Dr.,Thiago,Pereira,52,Masculino,Quadra QR 310 Conjunto 15 1686,Samambaia,DF,Distrito Federal,72306-816,BR,Brazil,ThiagoGoncalvesPereira@teleworm.us,5959,0.15,5,10,0,1,2,4,5,7987,85,Push,0
5470,Sra.,Ana,Cunha,66,Feminino,Rua Santa Maria 1774,Goiânia,GO,Goiás,74683-715,BR,Brazil,AnaCardosoCunha@fleckens.hu,8336,1,6,14,1,5,18,120,3,3842,63,Push,1
5471,Sr.,Arthur,Fernandes,21,Masculino,Travessa Trinta e Hum de Março 935,Jundiaí,SP,São Paulo,13216-021,BR,Brazil,ArthurLimaFernandes@dayrep.com,7816,0.49,12,5,0,3,1,3,4,1900,62,Push,0
5472,Sr.,Kauã,Costa,42,Masculino,Avenida Doutor Albert Einstein 1288,Araraquara,SP,São Paulo,14811-490,BR,Brazil,KauaBarrosCosta@teleworm.us,6347,1,11,12,1,1,10,46,2,2320,79,Email,1
5473,Sr.,Luis,Silva,36,Masculino,Travessa Ana Dias 1446,Nilópolis,RJ,Rio de Janeiro,26515-030,BR,Brazil,LuisOliveiraSilva@armyspy.com,7370,0.03,7,8,0,0,2,4,5,341,72,Email,0
5474,Sr.,Alex,Martins,28,Masculino,Rua José Leitão Filho 1317,Belford Roxo,RJ,Rio de Janeiro,26110-002,BR,Brazil,AlexCostaMartins@armyspy.com,3454,0.97,15,12,0,0,28,65,0,8013,43,SMS,1
5475,Sra.,Bianca,Melo,26,Feminino,Rua Cobre 744,Campinas,SP,São Paulo,13050-514,BR,Brazil,BiancaOliveiraMelo@jourrapide.com,8629,1,7,13,0,4,48,43,2,7419,71,SMS,1
5476,Sra.,Amanda,Ribeiro,21,Feminino,Rua 87 1791,Manaus,AM,Amazonas,69099-753,BR,Brazil,AmandaSantosRibeiro@jourrapide.com,9883,0.28,5,4,1,5,1,1,5,7162,59,Ligacao,0
5477,Sr.,Júlio,Castro,29,Masculino,Rua Hortência 153,São Paulo,SP,São Paulo,02363-080,BR,Brazil,JulioMartinsCastro@jourrapide.com,9964,0.34,11,13,1,1,1,4,4,2448,72,Ligacao,0
5478,Sra.,Larissa,Cunha,27,Feminino,Rua 23-A 167,Goiânia,GO,Goiás,74075-330,BR,Brazil,LarissaSousaCunha@jourrapide.com,8735,1,7,3,1,4,20,101,3,2817,37,SMS,1
5479,Sra.,Lavinia,Cavalcanti,30,Feminino,Rua Santos Dumont 139,Florianópolis,SC,Santa Catarina,88015-020,BR,Brazil,LaviniaCardosoCavalcanti@jourrapide.com,9666,0.18,8,17,0,5,3,8,4,5199,55,Push,0
5480,Sra.,Letícia,Alves,39,Feminino,Rua Ouro Preto 1930,Carapicuíba,SP,São Paulo,06345-000,BR,Brazil,LeticiaAlmeidaAlves@rhyta.com,8941,0.95,6,9,0,0,28,178,0,914,38,Ligacao,1
5481,Sr.,Diogo,Costa,51,Masculino,Quadra SHN Quadra 02 1761,Brasília,DF,Distrito Federal,70702-000,BR,Brazil,DiogoOliveiraCosta@einrot.com,7981,0.46,13,17,0,4,1,2,4,2386,56,Email,0
5482,Sr.,Nicolash,Cunha,26,Masculino,Rua dos Crisântemos 387,São Bernardo do Campo,SP,São Paulo,09841-240,BR,Brazil,NicolashRochaCunha@gustr.com,7321,1,12,0,0,3,45,115,3,4257,56,SMS,1
5483,Sr.,André,Sousa,40,Masculino,Rua São João 423,Tupã,SP,São Paulo,17602-202,BR,Brazil,AndreMeloSousa@fleckens.hu,3366,0.8,13,17,0,4,33,152,2,5170,40,Push,1
5484,Sra.,Tânia,Carvalho,19,Feminino,Rua Amaro de Barros Pereira 963,Cabo de Santo Agostinho,PE,Pernambuco,54520-130,BR,Brazil,TaniaRodriguesCarvalho@cuvox.de,8709,0.4,2,9,0,5,1,0,4,5131,30,SMS,0
5485,Sr.,Rodrigo,Pereira,47,Masculino,Travessa Beirute 754,São Paulo,SP,São Paulo,04012-160,BR,Brazil,RodrigoOliveiraPereira@teleworm.us,4928,0.82,15,11,0,0,17,162,2,2804,81,Email,1
5486,Sra.,Nicole,Santos,58,Feminino,Rua Carlos Pepe 119,Cachoeiro de Itapemirim,ES,Espírito Santo,29307-240,BR,Brazil,NicoleFernandesSantos@superrito.com,4864,0.15,9,10,1,1,2,4,5,7435,51,SMS,0
5487,Sra.,Letícia,Araujo,50,Feminino,Rua São Lucas 1262,Betim,MG,Minas Gerais,32666-386,BR,Brazil,LeticiaCorreiaAraujo@jourrapide.com,5976,0.99,14,9,0,1,28,112,2,9321,61,Push,1
5488,Sr.,Diego,Silva,21,Masculino,Praça Papa Paulo VI 1773,São José dos Campos,SP,São Paulo,12220-001,BR,Brazil,DiegoGoncalvesSilva@gustr.com,3366,0.36,14,14,0,0,3,1,5,1947,52,Ligacao,0
5489,Sra.,Sophia,Fernandes,45,Feminino,Favela do Rio Sambaiatuba 962,São Vicente,SP,São Paulo,11365-140,BR,Brazil,SophiaCunhaFernandes@teleworm.us,6996,0.36,9,3,1,1,2,6,5,4614,80,Push,0
5490,Sr.,Eduardo,Martins,27,Masculino,Rua Américo Vespúcio 433,Xinguara,PA,Pará,68557-115,BR,Brazil,EduardoPintoMartins@fleckens.hu,7161,1,15,3,0,0,20,78,3,3709,45,Push,1
5491,Sr.,Bruno,Ribeiro,58,Masculino,Rua José Toscano de Brito 356,Feira de Santana,BA,Bahia,44075-640,BR,Brazil,BrunoSouzaRibeiro@fleckens.hu,8750,0.32,4,1,0,5,1,2,4,1328,36,Ligacao,0
5492,Sra.,Tânia,Lima,62,Feminino,Rua Setenta e Três 248,Belo Horizonte,MG,Minas Gerais,31652-030,BR,Brazil,TaniaSantosLima@dayrep.com,3525,0.42,9,20,1,5,2,7,4,9672,83,Ligacao,0
5493,Sr.,Nicolas,Almeida,52,Masculino,Travessa Antônio Bulcão 1918,Salvador,BA,Bahia,40285-400,BR,Brazil,NicolasAraujoAlmeida@cuvox.de,3564,0.4,5,14,1,4,2,6,5,773,48,SMS,0
5494,Sr.,Joao,Dias,35,Masculino,Rua Confrade João Pereira dos Santos 1433,São José dos Campos,SP,São Paulo,12234-832,BR,Brazil,JoaoSouzaDias@cuvox.de,9204,1,6,14,1,0,39,78,1,1429,45,Email,1
5495,Sra.,Letícia,Ribeiro,45,Feminino,Rua Santo Amaro 1333,Itapecerica da Serra,SP,São Paulo,06856-825,BR,Brazil,LeticiaCunhaRibeiro@jourrapide.com,3034,0.94,2,20,0,2,21,105,3,4509,46,SMS,1
5496,Sra.,Ágatha,Cavalcanti,53,Feminino,Rua dos Suiços 140,Joinville,SC,Santa Catarina,89220-801,BR,Brazil,AgathaMartinsCavalcanti@jourrapide.com,7470,0.39,15,17,1,4,2,7,4,3244,84,Push,0
5497,Sra.,Fernanda,Cavalcanti,27,Feminino,Rua B-5 1053,Ribeirão Preto,SP,São Paulo,14031-819,BR,Brazil,FernandaMeloCavalcanti@dayrep.com,5148,0.16,3,1,0,5,2,1,4,8566,49,SMS,0
5498,Sra.,Gabrielly,Castro,44,Feminino,Travessa Gaspar Brebos 1147,São Paulo,SP,São Paulo,02921-010,BR,Brazil,GabriellyFerreiraCastro@superrito.com,6161,0.97,4,7,0,0,22,46,2,9704,38,Ligacao,1
5499,Sr.,Rodrigo,Azevedo,23,Masculino,Rua Margarida F. dos Santos 1954,São José dos Campos,SP,São Paulo,12231-760,BR,Brazil,RodrigoRochaAzevedo@jourrapide.com,3148,0.9,6,13,0,0,39,116,2,4563,39,Ligacao,1
5500,Sr.,Luiz,Pinto,25,Masculino,Avenida Vera Cruz 1041,Barra do Piraí,RJ,Rio de Janeiro,27140-360,BR,Brazil,LuizAraujoPinto@einrot.com,6024,0.84,14,12,0,2,11,185,1,6982,47,SMS,1
5501,Sr.,Luís,Barros,43,Masculino,Praça Almirante Tamandaré 1821,Juiz de Fora,MG,Minas Gerais,36090-020,BR,Brazil,LuisFerreiraBarros@rhyta.com,9372,0.8,1,5,1,4,38,39,1,1586,40,Ligacao,1
5502,Sra.,Giovana,Silva,59,Feminino,Rua João Batista Monteiro 53,Barbacena,MG,Minas Gerais,36202-746,BR,Brazil,GiovanaCardosoSilva@einrot.com,3978,0.38,2,7,0,2,1,2,5,7369,71,Ligacao,0
5503,Sr.,Miguel,Barros,40,Masculino,Rua Rio Miranda 1118,Ponta Grossa,PR,Paraná,84033-360,BR,Brazil,MiguelCunhaBarros@gustr.com,6092,0.8,4,12,0,4,41,31,1,4317,84,Push,1
5504,Sra.,Manuela,Goncalves,28,Feminino,Rua Liberdade 1222,Manaus,AM,Amazonas,69037-026,BR,Brazil,ManuelaMeloGoncalves@einrot.com,6552,0.28,3,11,1,4,2,7,5,7848,54,Email,0
5505,Sr.,Luan,Costa,30,Masculino,Rua Pedro Sanches Serrano 695,Tupã,SP,São Paulo,17607-050,BR,Brazil,LuanPereiraCosta@rhyta.com,7592,0.25,5,16,0,0,3,4,4,9757,38,Push,0
5506,Sra.,Maria,Oliveira,38,Feminino,Alto do Paquetá 1017,Ilhéus,BA,Bahia,45650-240,BR,Brazil,MariaPintoOliveira@superrito.com,3609,1,10,18,0,0,30,196,1,4358,58,Ligacao,1
5507,Sra.,Sofia,Fernandes,43,Feminino,Rua Manoel Galdino da Costa 1187,Sousa,PB,Paraíba,58804-660,BR,Brazil,SofiaCunhaFernandes@teleworm.us,6614,0.9,12,11,1,1,11,71,2,3952,45,Email,1
5508,Sra.,Ágatha,Costa,48,Feminino,Quadra Quadra QR 307 Conjunto F 1878,Santa Maria,DF,Distrito Federal,72507-506,BR,Brazil,AgathaAraujoCosta@jourrapide.com,4062,1,8,7,1,3,47,112,0,5029,51,SMS,1
5509,Sra.,Clara,Cardoso,39,Feminino,Rua Kalvene 767,Japeri,RJ,Rio de Janeiro,26415-280,BR,Brazil,ClaraBarbosaCardoso@rhyta.com,3963,1,3,5,1,3,12,176,0,2942,38,Email,1
5510,Sr.,Martim,Pinto,23,Masculino,Rua Doutor Dácio Cabral de Vasconcelos 1653,João Pessoa,PB,Paraíba,58087-186,BR,Brazil,MartimGoncalvesPinto@gustr.com,4119,1,4,19,0,5,14,142,3,9145,86,SMS,1
5511,Sr.,Júlio,Rodrigues,40,Masculino,Avenida Transguarulhense 524,Guarulhos,SP,São Paulo,07082-150,BR,Brazil,JulioRochaRodrigues@teleworm.us,6430,0,3,5,0,5,2,4,5,7573,55,Push,0
5512,Sr.,Carlos,Ferreira,25,Masculino,Rua 9 758,Goiânia,GO,Goiás,74440-410,BR,Brazil,CarlosAzevedoFerreira@jourrapide.com,7599,0.25,3,13,0,3,1,8,5,4031,64,Push,0
5513,Sra.,Luana,Rodrigues,22,Feminino,Avenida João Paulo Barreto 817,São Paulo,SP,São Paulo,04842-150,BR,Brazil,LuanaGoncalvesRodrigues@fleckens.hu,7179,0.86,9,15,1,1,48,159,3,3936,76,SMS,1
5514,Sr.,Paulo,Almeida,20,Masculino,Rua Orquídeas 1833,Itaguaí,RJ,Rio de Janeiro,23830-290,BR,Brazil,PauloSousaAlmeida@dayrep.com,3877,0.97,10,2,0,4,16,42,1,2180,32,Ligacao,1
5515,Sr.,Júlio,Barbosa,26,Masculino,Rua JB 1 1726,Goiânia,GO,Goiás,74594-150,BR,Brazil,JulioSousaBarbosa@fleckens.hu,6795,1,5,4,1,5,39,130,0,3379,85,SMS,1
5516,Sra.,Melissa,Cavalcanti,62,Feminino,Rua Romênia 1577,Manaus,AM,Amazonas,69037-131,BR,Brazil,MelissaFernandesCavalcanti@superrito.com,6392,0.95,2,0,1,2,15,184,0,6678,89,Ligacao,1
5517,Sra.,Gabriela,Dias,22,Feminino,Rua do Ouro 1364,Capão Bonito,SP,São Paulo,18305-170,BR,Brazil,GabrielaAzevedoDias@einrot.com,5359,0.84,9,3,0,3,41,156,2,7854,39,Push,1
5518,Sr.,Ryan,Lima,48,Masculino,Rua Manuel Bicudo 1675,São Paulo,SP,São Paulo,05767-470,BR,Brazil,RyanMartinsLima@armyspy.com,6021,0.92,6,3,0,5,26,63,2,6734,57,Email,1
5519,Sra.,Marisa,Azevedo,58,Feminino,Rua Janaúba 1025,Manaus,AM,Amazonas,69088-347,BR,Brazil,MarisaOliveiraAzevedo@rhyta.com,5839,0.44,1,6,0,4,2,2,5,594,39,Push,0
5520,Sra.,Carolina,Carvalho,32,Feminino,Vila Três Irmãos 1402,Fortaleza,CE,Ceará,60850-820,BR,Brazil,CarolinaDiasCarvalho@rhyta.com,8664,0.97,0,0,0,5,44,62,0,1820,47,Email,1
5521,Sra.,Letícia,Cavalcanti,44,Feminino,Rua João do Nascimento Júnior 668,Rio de Janeiro,RJ,Rio de Janeiro,23076-110,BR,Brazil,LeticiaAzevedoCavalcanti@gustr.com,9038,0.01,10,19,1,0,3,5,4,1577,67,Email,0
5522,Sr.,Kauã,Cunha,61,Masculino,Passagem São Jorge 817,Belém,PA,Pará,66811-720,BR,Brazil,KauaAraujoCunha@dayrep.com,7749,0.34,10,8,0,1,3,8,4,4853,62,SMS,0
5523,Sr.,Tomás,Fernandes,38,Masculino,Rua Pau Brasil 845,Catanduva,SP,São Paulo,15802-300,BR,Brazil,TomasRibeiroFernandes@rhyta.com,5271,1,4,6,0,3,45,94,1,1299,39,SMS,1
5524,Sr.,Paulo,Gomes,26,Masculino,Rua N 1042,Barreiras,BA,Bahia,47806-420,BR,Brazil,PauloMeloGomes@cuvox.de,3302,1,6,12,0,5,37,75,3,7416,46,Ligacao,1
5525,Sr.,Kauê,Souza,25,Masculino,Quadra 1106 Sul Alameda 17 664,Palmas,TO,Tocantins,77024-072,BR,Brazil,KaueBarbosaSouza@superrito.com,3410,0.81,1,7,0,5,41,154,1,1771,87,Push,1
5526,Sra.,Isabelle,Melo,65,Feminino,Avenida Altamira 823,Castanhal,PA,Pará,68741-320,BR,Brazil,IsabelleDiasMelo@gustr.com,5679,0.95,12,19,0,5,12,189,0,9174,33,Push,1
5527,Sra.,Ágatha,Silva,55,Feminino,Quadra QNP 34 Conjunto F 560,Ceilândia,DF,Distrito Federal,72236-406,BR,Brazil,AgathaAraujoSilva@einrot.com,3865,0.97,10,3,1,1,34,182,0,8502,41,Push,1
5528,Sra.,Ana,Pereira,38,Feminino,Rua Goiás 1671,Passo Fundo,RS,Rio Grande do Sul,99070-250,BR,Brazil,AnaBarbosaPereira@teleworm.us,4167,0.25,3,15,1,1,2,1,5,3570,56,Ligacao,0
5529,Sr.,Arthur,Cunha,57,Masculino,Quadra CLN 105 1141,Brasília,DF,Distrito Federal,70734-500,BR,Brazil,ArthurOliveiraCunha@teleworm.us,6487,1,6,14,1,0,31,143,3,1340,38,Ligacao,1
5530,Sr.,Murilo,Melo,32,Masculino,Rua São José 1961,Camaçari,BA,Bahia,42800-550,BR,Brazil,MuriloBarrosMelo@teleworm.us,5615,0.88,13,16,0,5,31,89,0,2848,36,Ligacao,1
5531,Sr.,Kaua,Barbosa,38,Masculino,Rua Sete 472,Ipatinga,MG,Minas Gerais,35162-837,BR,Brazil,KauaGomesBarbosa@dayrep.com,5220,0.41,1,6,1,3,3,7,5,6287,62,Push,0
5532,Sra.,Mariana,Melo,51,Feminino,Rua Doutor Pio Antunes de Figueiredo 855,Ribeirão Preto,SP,São Paulo,14070-130,BR,Brazil,MarianaDiasMelo@dayrep.com,3949,0.04,4,17,0,3,3,5,4,4581,60,SMS,0
5533,Sra.,Luiza,Barros,22,Feminino,Rua Rudelli 1964,Guarulhos,SP,São Paulo,07190-002,BR,Brazil,LuizaLimaBarros@teleworm.us,9981,0.48,5,5,0,5,3,2,4,637,71,Ligacao,0
5534,Sr.,Rafael,Oliveira,51,Masculino,Setor Esportivo 1263,Sobradinho,DF,Distrito Federal,73010-750,BR,Brazil,RafaelDiasOliveira@superrito.com,4219,0.38,11,17,0,0,2,1,5,6612,69,Ligacao,0
5535,Sr.,Gustavo,Cavalcanti,33,Masculino,Rua Professor Alberto Piekas 809,Almirante Tamandaré,PR,Paraná,83504-595,BR,Brazil,GustavoBarbosaCavalcanti@teleworm.us,4434,0.21,4,16,1,3,1,6,5,8337,32,SMS,0
5536,Sr.,Luis,Almeida,41,Masculino,Rua PM - 022 1756,Brusque,SC,Santa Catarina,88353-548,BR,Brazil,LuisOliveiraAlmeida@teleworm.us,4245,0.4,13,17,0,1,3,7,4,2798,39,Push,0
5537,Sr.,Vitor,Goncalves,61,Masculino,Avenida Padre Vicente Melillo 304,Osasco,SP,São Paulo,06036-003,BR,Brazil,VitorMeloGoncalves@rhyta.com,5360,0.36,12,17,0,0,3,1,5,9240,59,Email,0
5538,Sra.,Beatrice,Dias,29,Feminino,Rua Aracy Gonçalves Quiroz Silva 1358,Valinhos,SP,São Paulo,13277-704,BR,Brazil,BeatricePereiraDias@dayrep.com,5244,0.08,4,1,0,4,1,4,4,9470,89,Push,0
5539,Sr.,Danilo,Barbosa,64,Masculino,Rua Sete de Setembro 378,Sorocaba,SP,São Paulo,18035-002,BR,Brazil,DaniloAzevedoBarbosa@gustr.com,3276,1,12,18,0,0,40,126,1,9382,87,Push,1
5540,Sr.,Martim,Goncalves,40,Masculino,Rua Pedro Nunes de Mello 1214,Itapetininga,SP,São Paulo,18213-010,BR,Brazil,MartimMartinsGoncalves@rhyta.com,4364,0.95,1,8,0,2,49,197,2,7479,39,SMS,1
5541,Sr.,Arthur,Melo,25,Masculino,Rua José Hipólito 1882,Matão,SP,São Paulo,15990-389,BR,Brazil,ArthurAlmeidaMelo@gustr.com,4125,0.34,7,12,0,1,3,1,5,2804,82,Ligacao,0
5542,Sr.,Victor,Cardoso,49,Masculino,Rua Joaquim Pedro Nascimento 396,Governador Valadares,MG,Minas Gerais,35022-630,BR,Brazil,VictorAlmeidaCardoso@cuvox.de,7931,0.86,8,9,0,0,12,48,3,2014,66,Push,1
5543,Sr.,Martim,Rodrigues,51,Masculino,Rua dos Caras 917,São Paulo,SP,São Paulo,04944-140,BR,Brazil,MartimSousaRodrigues@dayrep.com,3813,1,7,20,0,0,47,98,0,8973,67,Email,1
5544,Sr.,Carlos,Martins,33,Masculino,Travessa Taguatinga 1387,Fortaleza,CE,Ceará,60180-250,BR,Brazil,CarlosMeloMartins@superrito.com,4540,0.89,12,18,1,5,10,30,1,1273,47,SMS,1
5545,Sr.,Rafael,Gomes,27,Masculino,Rua B 75,Piracicaba,SP,São Paulo,13405-362,BR,Brazil,RafaelOliveiraGomes@fleckens.hu,6462,0.86,7,8,1,1,47,145,2,7868,75,Ligacao,1
5546,Sra.,Nicole,Araujo,25,Feminino,Rua Marechal Floriano 938,Coronel Fabriciano,MG,Minas Gerais,35170-049,BR,Brazil,NicoleBarbosaAraujo@einrot.com,6991,0.31,13,1,0,4,1,3,4,4092,47,Ligacao,0
5547,Sra.,Gabriela,Dias,54,Feminino,Rua Anchieta 726,Itabuna,BA,Bahia,45606-315,BR,Brazil,GabrielaCorreiaDias@rhyta.com,7482,0.18,0,13,0,5,2,1,4,7598,67,Push,0
5548,Sr.,Daniel,Ferreira,23,Masculino,Rua Antúrio 718,Ipatinga,MG,Minas Gerais,35162-237,BR,Brazil,DanielRodriguesFerreira@teleworm.us,9695,0.41,15,15,1,3,2,1,5,5133,38,SMS,0
5549,Sra.,Amanda,Goncalves,48,Feminino,Rua da Alegria da Santa Cruz 1174,Salvador,BA,Bahia,41927-860,BR,Brazil,AmandaCostaGoncalves@dayrep.com,6182,0.38,7,2,0,1,2,7,5,7583,46,Email,0
5550,Sr.,Pedro,Fernandes,66,Masculino,Travessa Cajueiro 1187,Salvador,BA,Bahia,41253-570,BR,Brazil,PedroDiasFernandes@gustr.com,4853,0.08,1,5,1,2,1,2,4,4390,66,SMS,0
5551,Sr.,Marcos,Barbosa,50,Masculino,Rua São Fidélis 1930,Rio de Janeiro,RJ,Rio de Janeiro,22735-250,BR,Brazil,MarcosCorreiaBarbosa@dayrep.com,6841,0.43,3,4,1,3,2,1,4,2312,35,Email,0
5552,Sra.,Lavinia,Silva,58,Feminino,Rua José da Costa Cyrne 1850,Franco da Rocha,SP,São Paulo,07830-070,BR,Brazil,LaviniaCunhaSilva@einrot.com,9581,0.13,4,3,0,5,1,0,5,8287,49,Email,0
5553,Sra.,Ágatha,Santos,56,Feminino,Rua Rio Grande do Sul 1384,Marília,SP,São Paulo,17515-170,BR,Brazil,AgathaAraujoSantos@jourrapide.com,6007,0.09,7,17,0,0,3,5,4,2835,42,Email,0
5554,Sra.,Marisa,Sousa,37,Feminino,Rua 26 1088,Barretos,SP,São Paulo,14783-232,BR,Brazil,MarisaSilvaSousa@armyspy.com,6250,1,10,0,0,1,47,69,2,3403,72,Ligacao,1
5555,Sra.,Letícia,Correia,61,Feminino,Rua Carmila 596,São Paulo,SP,São Paulo,08190-480,BR,Brazil,LeticiaAlmeidaCorreia@teleworm.us,3280,0.49,1,18,0,2,3,7,5,9537,32,Email,0
5556,Sr.,Davi,Cardoso,27,Masculino,Beco Quatro 1787,Porto Alegre,RS,Rio Grande do Sul,91230-550,BR,Brazil,DaviCastroCardoso@armyspy.com,4262,0.21,3,7,1,1,2,7,5,3949,62,Ligacao,0
5557,Sra.,Gabrielly,Barros,59,Feminino,Rua Kenzaburo Kakegwa 839,Bragança Paulista,SP,São Paulo,12926-160,BR,Brazil,GabriellyAraujoBarros@jourrapide.com,5442,0.88,4,20,0,4,43,55,1,630,41,Ligacao,1
5558,Sra.,Emily,Souza,23,Feminino,Rua Ludovico Monteiro 1203,Ariquemes,RO,Rondônia,78933-680,BR,Brazil,EmilyMartinsSouza@cuvox.de,6689,0.15,3,12,0,1,1,1,4,7001,61,SMS,0
5559,Sra.,Carla,Rocha,38,Feminino,Beco Final 10 348,Manaus,AM,Amazonas,69038-073,BR,Brazil,CarlaAraujoRocha@dayrep.com,8578,0.36,15,3,0,1,2,8,5,946,40,SMS,0
5560,Sra.,Ágatha,Ferreira,57,Feminino,Rua João Urbano Figueiredo 1272,Varginha,MG,Minas Gerais,37014-510,BR,Brazil,AgathaRodriguesFerreira@fleckens.hu,7892,0.15,6,17,0,1,2,1,4,4364,89,SMS,0
5561,Sr.,Thiago,Cardoso,40,Masculino,Travessa Hugo Wilson 924,Salvador,BA,Bahia,40081-320,BR,Brazil,ThiagoFernandesCardoso@einrot.com,4836,1,0,17,1,0,22,153,2,735,69,Email,1
5562,Sra.,Tânia,Ribeiro,27,Feminino,Avenida Joaquim Fazolaro 1182,Araraquara,SP,São Paulo,14808-355,BR,Brazil,TaniaCunhaRibeiro@rhyta.com,4112,0.91,4,18,0,0,28,119,1,6121,88,Email,1
5563,Sr.,Fábio,Araujo,41,Masculino,Praça Gonçalo Lima 150,São Paulo,SP,São Paulo,02563-100,BR,Brazil,FabioAlvesAraujo@superrito.com,3521,0.92,15,4,1,3,50,155,2,9295,36,Email,1
5564,Sra.,Yasmin,Barbosa,55,Feminino,Rua Jasmim 342,Hortolândia,SP,São Paulo,13187-046,BR,Brazil,YasminDiasBarbosa@einrot.com,7927,0.92,1,8,0,0,26,186,1,9375,65,Push,1
5565,Sr.,Vitór,Azevedo,47,Masculino,Travessa Macieira 938,São Luís,MA,Maranhão,65057-170,BR,Brazil,VitorAlmeidaAzevedo@einrot.com,5540,0.86,10,2,0,0,13,92,0,6184,42,Ligacao,1
5566,Sra.,Thaís,Goncalves,48,Feminino,Rua Dom Pedrito 228,Sabará,MG,Minas Gerais,34710-440,BR,Brazil,ThaisSousaGoncalves@superrito.com,9923,0.47,11,5,0,0,1,2,5,9261,76,Ligacao,0
